instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model,CPLEX
30x15_0.npz,3287,2431,3524,3233,2843,3150,2610,2753
30x15_1.npz,3301,2558,3459,3275,3126,3106,3176,3249
30x15_10.npz,3335,2367,3525,3075,2885,2986,2629,2793
30x15_11.npz,3279,2391,3526,2997,2870,2934,2862,3016
30x15_12.npz,3318,2244,3312,2809,2776,2700,2745,2849
30x15_13.npz,3279,2375,3911,3365,3075,3101,2820,2839
30x15_14.npz,2704,2215,2991,2866,2793,2621,2485,2536
30x15_15.npz,2930,2324,3278,3042,2904,2955,2640,2887
30x15_16.npz,2968,2422,3341,3006,2785,2906,2714,2857
30x15_17.npz,3301,2192,3086,2705,2813,2693,2565,2613
30x15_18.npz,3190,2436,3353,2813,2894,3147,2750,3053
30x15_19.npz,3312,2402,3556,3049,3058,2964,2919,2897
30x15_2.npz,3070,2416,3700,3151,2889,2905,2806,2803
30x15_20.npz,3531,2471,3599,3023,3249,3082,2841,3052
30x15_21.npz,3005,2583,3218,2935,2995,2886,3127,2845
30x15_22.npz,3241,2571,3296,2888,2972,2907,2800,2876
30x15_23.npz,3279,2516,3843,3250,3021,3047,2945,2912
30x15_24.npz,3590,2450,3919,3290,3219,3147,3038,2891
30x15_25.npz,3304,2466,3685,3099,3101,3142,2788,2952
30x15_26.npz,3429,2409,3712,3079,3030,3014,2863,3100
30x15_27.npz,3071,2290,3271,2612,2642,2935,2584,2706
30x15_28.npz,3022,2281,3400,3024,3049,2951,2692,2742
30x15_29.npz,3227,2260,3741,2832,2878,2920,2891,2928
30x15_3.npz,3190,2425,3415,3111,3249,3155,3025,3072
30x15_30.npz,3127,2526,3472,3058,3132,2957,2977,2991
30x15_31.npz,3218,2517,3646,2910,2959,2845,2730,3026
30x15_32.npz,3528,2578,3663,3301,3158,3162,2958,3138
30x15_33.npz,3132,2298,3314,3367,2894,2907,2776,2892
30x15_34.npz,3194,2275,3405,3136,2948,3084,2831,3006
30x15_35.npz,3270,2435,3259,2995,3010,2803,3009,3038
30x15_36.npz,3325,2441,3755,3001,2906,2907,2804,2832
30x15_37.npz,3187,2332,3260,2744,2825,2659,2619,2734
30x15_38.npz,3230,2428,3342,3044,2882,2778,2518,2808
30x15_39.npz,3196,2336,3303,3217,2943,2890,2831,2775
30x15_4.npz,3360,2598,3588,3218,3401,3378,2948,3250
30x15_40.npz,3055,2328,3511,2904,2915,2820,3019,2738
30x15_41.npz,3590,2406,3383,3360,2896,3154,2779,2957
30x15_42.npz,3387,2481,3594,2948,2806,2911,2658,2893
30x15_43.npz,3048,2408,3637,3239,3033,3440,3101,3034
30x15_44.npz,3478,2433,3377,3250,3408,3073,2950,3145
30x15_45.npz,3311,2586,3668,3055,3205,3343,3019,2992
30x15_46.npz,3485,2328,3529,2894,3075,3163,2677,3028
30x15_47.npz,3111,2220,3386,2605,2562,2622,2587,2787
30x15_48.npz,3057,2388,3530,3001,3031,3095,2714,2914
30x15_49.npz,2912,2229,3206,2683,2807,2687,2676,2656
30x15_5.npz,2816,2325,3017,2788,2897,2897,2726,2940
30x15_50.npz,3051,2329,3703,3017,2786,2835,2644,2709
30x15_51.npz,3217,2472,3635,3038,2938,2960,2740,2985
30x15_52.npz,3106,2337,3252,2940,3018,2890,2955,2970
30x15_53.npz,3112,2426,3423,2887,2931,3006,2974,2934
30x15_54.npz,2879,2351,3179,2734,2884,2798,2547,2883
30x15_55.npz,3205,2554,3376,3182,3225,2998,2747,2870
30x15_56.npz,3134,2397,3444,3110,3095,2890,2820,2803
30x15_57.npz,3078,2435,3262,3020,3021,3068,2724,2937
30x15_58.npz,3393,2359,3475,3124,2875,3034,2711,2907
